name,email,phone,gstin,address,payment_terms
Retail Client 1,contact@client1.com,9000000001,29AABCU0001R1ZB,Bangalore,15
Retail Client 2,contact@client2.com,9000000002,29AABCU0002R1ZB,Bangalore,30
Retail Client 3,contact@client3.com,9000000003,29AABCU0003R1ZB,Delhi,30
Retail Client 4,contact@client4.com,9000000004,29AABCU0004R1ZB,Hyderabad,45
Retail Client 5,contact@client5.com,9000000005,29AABCU0005R1ZA,Pune,15
Retail Client 6,contact@client6.com,9000000006,29AABCU0006R1ZC,Bangalore,15
Retail Client 7,contact@client7.com,9000000007,29AABCU0007R1ZB,Bangalore,30
Retail Client 8,contact@client8.com,9000000008,29AABCU0008R1ZC,Hyderabad,15
Retail Client 9,contact@client9.com,9000000009,29AABCU0009R1ZC,Hyderabad,45
Retail Client 10,contact@client10.com,9000000010,29AABCU0010R1ZA,Hyderabad,30
Retail Client 11,contact@client11.com,9000000011,29AABCU0011R1ZC,Delhi,30
Retail Client 12,contact@client12.com,9000000012,29AABCU0012R1ZA,Mumbai,15
Retail Client 13,contact@client13.com,9000000013,29AABCU0013R1ZB,Bangalore,30
Retail Client 14,contact@client14.com,9000000014,29AABCU0014R1ZB,Hyderabad,15
